Player,College,Year,Pick,Rnd,DrAge,AP1,PB,St,wAV,G,GS,Rk,Age,AV,Height,Wt,X40YD,Vertical,BenchReps,Broad.Jump,X3Cone,Shuttle,CareerLength,SEC,BIG10,BIG12,PAC12,ACC,Pos,Position,Team,From,To,AA,QB,Skill,OL,DL,LB,DB,K
Quincy Morgan,Kansas St.,2001,33,2,23,0,0,4,20,86,52,85,23,22,6.1,211,4.48,NA,NA,NA,NA,NA,6,0,0,1,0,0,WR,3,CLE,2001,2006,0,0,1,0,0,0,0,0
Quinton Caver,Arkansas,2001,55,2,23,0,0,0,5,53,4,190,22,5,6.4,227,4.67,37.5,23,118,7.66,4.25,5,1,0,0,0,0,LB,11,PHI,2001,2005,0,0,0,0,0,1,0,0
Rashad Holman,Louisville,2001,179,6,23,0,0,0,4,46,1,133,23,4,5.11,186,4.58,42,6,129,7.09,3.85,3,0,0,0,0,1,DB,12,SFO,2001,2003,0,0,0,0,0,0,1,0
Raymond Walls,Southern Miss,2001,152,5,22,0,0,0,4,41,3,19,21,4,5.11,176,4.51,39,NA,124,NA,4.18,5,0,0,0,0,0,DB,12,IND,2001,2005,0,0,0,0,0,0,1,0
Reggie Germany,Ohio St.,2001,214,7,23,0,0,0,2,16,1,156,22,2,6.1,183,4.39,NA,NA,NA,NA,NA,1,0,1,0,0,0,WR,3,BUF,2001,2001,0,0,1,0,0,0,0,0
Reggie Hayward,Iowa St.,2001,87,3,22,0,0,3,32,92,59,143,21,35,6.5,255,4.91,41,21,127,7.43,4.43,9,0,0,1,0,0,DE,10,DEN,2001,2009,0,0,0,0,1,0,0,0
Reggie Wayne,Miami (FL),2001,30,1,22,1,6,13,116,211,197,17,22,153,6.1,198,4.45,NA,NA,NA,NA,NA,14,0,0,0,0,1,WR,3,IND,2001,2014,0,0,1,0,0,0,0,0
Renaldo Hill,Michigan St.,2001,202,7,22,0,0,8,36,141,114,137,22,44,5.11,178,4.68,35.5,10,116,7.07,4.18,10,0,1,0,0,0,DB,12,ARI,2001,2010,0,0,0,0,0,0,1,0
Rick DeMulling,Idaho,2001,220,7,24,0,0,3,31,81,53,176,23,34,6.4,307,5.24,31.5,32,108,7.62,4.6,7,0,0,0,0,0,G,7,IND,2001,2007,0,0,0,1,0,0,0,0
Robert Ferguson,Texas A&M,2001,41,2,21,0,0,3,18,83,34,164,21,20,6.1,205,4.48,36.5,NA,120,7.24,4.07,8,1,0,0,0,0,WR,3,GNB,2001,2008,0,0,1,0,0,0,0,0
Roberto Garza,Texas A&M-Kingsville,2001,99,4,22,0,0,11,61,206,176,157,21,82,6.2,303,5,32.5,37,114,7.71,4.53,14,0,0,0,0,0,G,7,ATL,2001,2014,0,0,0,1,0,0,0,0
Rod Gardner,Clemson,2001,15,1,23,0,0,4,25,91,62,158,23,27,6.2,219,4.48,NA,NA,NA,NA,NA,6,0,0,0,0,1,WR,3,WAS,2001,2006,0,0,1,0,0,0,0,0
Ron Edwards,Texas A&M,2001,76,3,22,0,0,6,37,139,96,167,21,44,6.3,293,4.86,NA,NA,NA,NA,NA,12,1,0,0,0,0,DT,9,BUF,2001,2012,0,0,0,0,1,0,0,0
Ross Kolodziej,Wisconsin,2001,230,7,23,0,0,1,12,54,19,112,22,12,6.3,290,4.87,34.5,25,111,7.37,4.36,7,0,1,0,0,0,DT,9,NYG,2001,2007,0,0,0,0,1,0,0,0
Rudi Johnson,Auburn,2001,100,4,21,0,1,5,46,95,63,120,21,51,5.1,227,4.57,37.5,24,119,7.32,4.22,8,1,0,0,0,0,RB,2,CIN,2001,2008,0,0,1,0,0,0,0,0
